21:43:42: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №26 Москва С.Петербург 27 ноября 2018 г.. Вагоны: 0 11 9 41 8 7 6 5 4 3 2 1. Нумерация: С хвоста
21:43:42: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №42 Москва В.Новгород 27 ноября 2018 г.. Вагоны: 0 2 3 41 4 5 6 7 8 9. Нумерация: С головы
21:43:42: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №34 Москва Таллинн 27 ноября 2018 г.. Вагоны: 0 6 7 8 9 13 14 15 41 16 17. Нумерация: С головы
21:43:42: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №28 Москва С.Петербург 27 ноября 2018 г.. Вагоны: 0 1 2 3 4 5 6 7 8 9 41 10 11 12 13. Нумерация: С головы
21:50:12: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №6 Москва С.Петербург 27 ноября 2018 г.. Вагоны: 0 12 11 10 9 41 8 7 6 5 4 3 2 1. Нумерация: С хвоста
21:52:42: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №780 Москва С.Петербург 27 ноября 2018 г.. Информация о вагонах отсутствует. Нумерация: С головы
21:52:42: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №18 Москва Петрозаводск 27 ноября 2018 г.. Вагоны: 0 87 88 89 15 13 12 11 10 9 8 41 7 6 5 4 1. Нумерация: С хвоста
21:52:42: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №24 Москва С.Петербург 27 ноября 2018 г.. Вагоны: 0 11 10 8 7 6 5 4 3 2 1. Нумерация: С хвоста
21:52:42: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №26 Москва С.Петербург 27 ноября 2018 г.. Вагоны: 0 11 9 41 8 7 6 5 4 3 2 1. Нумерация: С хвоста
21:52:42: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №42 Москва В.Новгород 27 ноября 2018 г.. Вагоны: 0 2 3 41 4 5 6 7 8 9. Нумерация: С головы
21:52:42: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №34 Москва Таллинн 27 ноября 2018 г.. Вагоны: 0 6 7 8 9 13 14 15 41 16 17. Нумерация: С головы
21:52:42: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №28 Москва С.Петербург 27 ноября 2018 г.. Вагоны: 0 1 2 3 4 5 6 7 8 9 41 10 11 12 13. Нумерация: С головы
21:52:42: 	Тимошкина С.Я.: 	Повагонная навигация	Принят состав поезда №6 Москва С.Петербург 27 ноября 2018 г.. Вагоны: 0 12 11 10 9 41 8 7 6 5 4 3 2 1. Нумерация: С хвоста
